Time,CH4L,CH4R,P,RsL,RsR,Leak,Leak_Rate
1/1/2025 0:00,10.99342831,8.643010539,51.74143124,80.19428032,95.28142452,0,0.0
1/1/2025 0:01,9.723471398,9.389001074,51.41661796,89.45014353,110.1270247,0,0.0
1/1/2025 0:02,11.29537708,8.805237878,45.31740077,94.12971594,98.01813153,0,0.0
1/1/2025 0:03,13.04605971,10.22083609,52.89792111,101.4966891,100.9056926,0,0.0
1/1/2025 0:04,9.531693251,12.39435706,42.54958662,110.2416233,107.1739061,0,0.0
1/1/2025 0:05,9.531726086,8.457915686,46.72907837,106.9413594,99.41036593,0,0.0
1/1/2025 0:06,13.15842563,12.001641,40.00456094,88.20675202,81.82152142,0,0.0
1/1/2025 0:07,21.64277494,24.49121653,46.99859862,123.4930236,139.4097868,1,2.0245010709999995
1/1/2025 0:08,9.061051228,8.304745575,48.84225253,100.7637559,112.5492883,0,0.0
1/1/2025 0:09,11.08512009,11.63718924,60.83442017,97.37792876,81.68883908,0,0.0
1/1/2025 0:10,9.073164614,11.84387276,54.01474963,97.30704774,89.56708794,0,0.0
1/1/2025 0:11,9.068540493,11.70281987,52.24049107,82.77256675,120.2387962,0,0.0
1/1/2025 0:12,23.75180233,25.6783671,33.07133852,113.7931679,124.028069,1,4.349014681
1/1/2025 0:13,6.173439511,9.068098044,44.76824982,95.97060151,100.0355127,0,0.0
1/1/2025 0:14,6.550164335,11.64597718,52.61485787,69.06774325,95.73616593,0,0.0
1/1/2025 0:15,8.875424942,10.08308368,49.64242995,106.4064432,89.69297349,0,0.0
1/1/2025 0:16,7.974337759,7.852614308,43.30364842,86.273209,98.05582358,0,0.0
1/1/2025 0:17,10.62849467,10.91663588,42.41570792,106.8683813,109.7442274,0,0.0
1/1/2025 0:18,8.183951849,8.570385482,45.20648135,105.98916,99.84322041,0,0.0
1/1/2025 0:19,7.175392597,13.5890497,59.10483613,94.56306957,106.1028409,0,0.0
1/1/2025 0:20,12.93129754,13.08968292,61.06638959,110.0054833,117.6570715,0,0.0
1/1/2025 0:21,9.548447399,11.20819485,51.02494574,107.4319734,94.1952182,0,0.0
1/1/2025 0:22,10.13505641,12.72201341,50.74471398,96.91038529,103.028749,0,0.0
1/1/2025 0:23,7.150503628,10.1295827,48.31839814,95.78240385,110.0439356,0,0.0
1/1/2025 0:24,8.911234551,11.53087499,45.32757326,110.9723279,90.67096367,0,0.0
1/1/2025 0:25,10.22184518,12.95544059,56.87589529,102.3201384,101.7805283,0,0.0
